;t;∆t;x1;x2;x3;y
480;480,21;1,07;0,99;2,38;4,85;6,44
481;481,04;0,83;0,54;4,25;3,03;-3,67
482;482,11;1,07;2,07;4,23;4,54;-16,47
483;483,15;1,04;3,42;0,12;1,84;-14,54
484;483,91;0,76;1,96;2,5;3,8;4,38
485;485,14;1,23;2,5;3,36;0,76;-2,97
486;486,12;0,98;3,14;0,59;2,33;-8,83
487;487,13;1,01;0,35;1,47;4,08;3,19
488;488,07;0,94;2,82;2,57;3,42;0,22
489;489,14;1,07;3,2;4,38;0,11;-2,56
490;490,09;0,95;3,93;0,2;0,96;-14,51
491;491,11;1,02;2,37;3,79;1,39;6,33
492;491,99;0,88;2,15;0,4;2,82;-11,4
493;493,13;1,14;0,11;1,08;1,14;1,53
494;494,11;0,98;3,35;2,69;2,45;0,7
495;495,04;0,93;0,72;1,81;2;-3,44
496;495,89;0,85;3,9;2,09;3,08;0,34
497;496,95;1,06;1,13;1,52;3,77;-0,41
498;497,99;1,04;4,23;1,98;4,96;-0,29
499;499,12;1,13;3,06;2,69;4,66;2,32
500;500,17;1,05;2,53;4,04;0,24;-2,81
501;500,98;0,81;2,72;3,31;3,75;-12,26
502;502,17;1,19;0,96;4,7;2,01;-6,95
503;503,01;0,84;3,42;0,32;1,38;-20,1
504;504,04;1,03;0,93;4,16;3,87;3,76
505;505,12;1,08;0,18;1,93;3,3;-16,09
506;505,91;0,79;1,45;0,77;3,73;-1,67
507;507,02;1,11;0,01;1,12;2,41;1,27
508;507,98;0,96;0,57;4,39;1,54;-0,04
509;508,97;0,99;2,22;2,14;1,29;-16,99
510;510,14;1,17;4,4;4,85;2,61;-1,62
511;510,94;0,8;1,58;0,57;0,62;-18,61
512;512,21;1,27;2,62;3,47;4,57;2,19
513;513,07;0,86;2,29;3,12;3,44;-9,21
514;514,1;1,03;4,24;1,74;2,54;-5,81
515;515,05;0,95;4,62;4,89;3,42;5,88
516;516,05;1;0,04;1,57;3,87;-15,05
517;516,97;0,92;0,09;4,09;0,85;0,17
518;518,11;1,14;1,83;4,84;0,65;-13,62
519;519,07;0,96;1,09;4,52;1,52;-20,81
520;520;0,93;3,21;3,94;3,29;-17,91
521;521,02;1,02;0,84;4,14;0,4;-12,88
522;522,03;1,01;0,2;0,25;1,5;-15,63
523;523,03;1;1,38;3,54;2,67;1,25
524;524;0,97;2,36;0,35;1,76;-9,92
525;524,92;0,92;0,76;0,32;4,62;2,8
526;526,13;1,21;3,27;1,68;4,17;2,34
527;527,08;0,95;0,41;3,23;3,69;0,66
528;527,92;0,84;3,72;3,17;0,05;-7,28
529;529,05;1,13;2,49;3,65;2,78;-4,2
530;530,1;1,05;1,77;3,33;1,21;-9,98
531;531,01;0,91;2,13;3,11;3,31;-8,64
532;532,16;1,15;4,53;2,5;1,89;-6,75
