t_stamp,T,Tapp_plus6,Tapp_plus5,Tapp_plus4,Tapp_plus3,Tapp_plus2,Tapp_plus1,Tapp_prev1,Tapp_prev2,Tapp_prev3,Tapp_prev4,Tapp_prev5,Tapp_prev6,Tapp_prev7,Tapp_prev8,Tapp_prev9,Tapp_prev10,BFR_1,BFR_2,BFR_3,BFR_4,BFR_5,BFR_6,BFR_7,BFR_8,BFR_9,BFR_10,BTemp_1,BTemp_2,BTemp_3,BTemp_4,BTemp_5,BTemp_6,BTemp_7,BTemp_8,BTemp_9,BTemp_10,BMoist_1,BMoist_2,BMoist_3,BMoist_4,BMoist_5,BMoist_6,BMoist_7,BMoist_8,BMoist_9,BMoist_10,HOD_1,HOD_2,HOD_3,HOD_4,HOD_5,HOD_6,HOD_7,HOD_8,HOD_9,HOD_10,HOD13,HOD12,HOD24,COD_1,COD_2,COD_3,COD_4,COD_5,COD_6,COD_7,COD_8,COD_9,COD_10,COD13,COD24,TOG_1,TOG_2,TOG_3,TOG_4,TOG_5,TOG_6,TOG_7,TOG_8,TOG_9,TOG_10,TOG48,TOG37,TOG26,PCI_1,PCI_2,PCI_3,PCI_4,PCI_5,PCI_6,PCI_7,PCI_8,PCI_9,PCI_10,PCI24,PCI35,HL_1,HL_2,HL_3,HL_4,HL_5,HL_6,HL_7,HL_8,HL_9,HL_10,HL46,HL35,CKR_1,CKR_2,CKR_3,CKR_4,CKR_5,CKR_6,CKR_7,CKR_8,CKR_9,CKR_10,CKR610,CKR97,SGR_1,SGR_2,SGR_3,SGR_4,SGR_5,SGR_6,SGR_7,SGR_8,SGR_9,SGR_10,SGR610,SGR97,SGR56,BFRm1,BTm9,BTm8,BTm7,BTm6,BMm1,PCIm4,PCIm3,PCIm2,PCIm1,HODm1,HODm2,HODm3,CODm1,CODm2,CODm3,TOGm2,TOGm3,TOGm4,HLm2,HLm3,HLm4,Coke_Ratem1,Coke_Ratem2,Coke_Ratem3,Coke_Ratem6,Coke_Ratem7,Coke_Ratem8,Time_Since_Tap_Open,HM_Si,HM_S
28/10/2016 14:20,1439.1,1443.061421,1434.343902,1435.295122,1436.246341,1437.197561,1438.14878,1438.986792,1438.873585,1439.325,1440.825,1442.325,1440.419408,1432.189145,1423.958882,1415.728618,1407.498355,3028.3,1060.15,-580.6,923,824.5,2106.2,2698.35,1161.3,5584.3,-1517.6,-13.705,26.805,8.485,15.225,36.21,30.09,70.225,70.355,119.005,119.29,-0.56,-1.205,-0.32,-0.45,-0.63,-0.6,-0.66,-0.72,-0.69,-0.69,101.615,-731.21,-54.695,-0.135,956.235,1027.07,1349.245,1336.33,-1805.915,-1937.77,-156.31,-832.825,731.075,101.615,-731.21,-54.695,-0.135,956.235,1027.07,1349.245,1336.33,-1805.915,-1937.77,-156.31,731.075,-0.12,-0.38,-1.65,-2.74,-2.68,-4.14,-2.92,-2.69,-3.52,-3.32,0.05,-1.27,-3.76,0.46,2.47,2.45,2.66,7.49,7.69,17.69,17.57,37.63,37.63,0.19,5.04,13642.71,8635.9,-10022.4,6041.3,-19225.4,-23671.8,34551.2,36364.4,1,13394.71,-29713.1,-9203,1758.8,3166.1,4574.7,5984.7,7768.1,9197.7,10626.7,12053,13837.8,15266.8,6069.1,3211.1,1293.1,2334.1,3375.3,4416.3,5764.5,6857.6,7951.2,9042.6,10406.8,11500.5,4642.9,2455.6,1093.1,250937.5229,1066.085723,1086.540436,1106.355491,1122.37613,7.468652923,34.79543035,35.04600132,36.06899422,37.35000412,1810.797026,1925.072799,1727.150276,5625.043129,4840.491209,4538.421826,47.24667194,48.01118149,48.58461645,105863.8928,115105.8432,112494.4222,24.6382335,25.36868474,23.84341704,25.39102419,25.7778674,26.00096322,60,0.722,0.027
28/10/2016 19:48,1433.9,1479.007831,1483.164458,1487.321084,1485.432995,1468.25533,1451.077665,1434.85122,1435.802439,1436.753659,1437.704878,1438.656098,1439.039623,1438.926415,1438.813208,1440.125,1441.625,-1668.4,-353.4,1096.4,9259.85,-1674.8,-2524.45,-30.95,171.2,-911.3,-1758.9,4.69,0.02,29.19,2.69,29.65,17.82,12.04,47.13,40.71,72.1,-0.1,-1.8,0.01,-7.34,-0.1,-0.21,-0.14,0.69,0.59,-6.14,-1261.185,-1208.65,-1024.31,-818.565,-1406.56,-1280.53,-1421.025,-640.15,-1330.47,-1311.75,236.875,52.535,390.085,-1261.185,-1208.65,-1024.31,-818.565,-1406.56,-1280.53,-1421.025,-640.15,-1330.47,-1311.75,236.875,390.085,-0.93,-0.28,1.07,-0.27,-0.79,-1.66,-1.36,-1.89,-4.26,3.36,-1.62,-2.43,-1.38,-1.56,-1.37,-1.12,10.16,-1.51,-1.64,-1.29,1.12,1.08,0.96,11.53,-0.39,5516.1,21088.08,-6797.8,-3366.2,1776.9,20269.44,16116.3,17390,12686.4,335.1,23635.64,8574.7,1246.6,2488.7,3817.1,5574.7,6632.6,8389.4,9797.2,11206.9,12614.9,14387.8,5998.4,2817.7,992.2,1976.7,2983.5,4271.2,5044,6331.8,7372.5,8413.9,9454.5,10776.4,4444.6,2082,1287.8,252077.7901,1150.018208,1160.272844,1170.317057,1178.657725,8.595069406,28.55636901,36.89733382,37.61582139,37.50526551,1742.194068,1843.863999,1749.052414,5750.552506,5677.248154,5638.193518,45.21953243,45.34131309,46.08562793,105690.3612,120141.3497,111013.3461,18.36596704,20.87766227,25.72875434,24.64312123,24.89295265,24.93986423,98,0.84,0.023
28/10/2016 23:05,1490.3,1474.472472,1472.569427,1475.359236,1478.149045,1481.986747,1486.143373,1473.122335,1455.94467,1438.767005,1434.581707,1435.532927,1436.484146,1437.435366,1438.386585,1439.071698,1438.958491,-546.9,-76.65,3191.2,-380.85,-4172.1,-1050.8,3944.2,12318.1,-2521.75,120.2,0.64,0.675,1.59,13.025,-0.1,-0.22,10.5,0.96,24.76,21.34,0.155,1.27,0.565,0.105,-2.245,0.595,-2.475,0.405,1.69,1.395,3.605,-214.95,52.355,-1239.065,-1354.005,-1693.355,-1231.335,-1140.555,-1288.105,-1199.535,48.75,-218.555,-1024.115,3.605,-214.95,52.355,-1239.065,-1354.005,-1693.355,-1231.335,-1140.555,-1288.105,-1199.535,48.75,-1024.115,1.76,1.96,2.61,3.07,4.41,5.92,3,2.76,2.94,2.9,-0.31,0.39,3.96,-0.08,0.03,0.45,-1.41,-1.94,-1.42,-0.74,11.34,-1.68,-1.33,-1.44,-2.39,-28999.76,-11092.19,-18756.05,-15490.68,-17543.53,-47123.66,-25018.36,-20067.59,-31898.76,-23258.86,-31632.98,1212.52,1248.2,2495.2,3741.5,4674.9,5918.4,7205.1,8611.8,10020.1,11426.9,12835.7,5630.6,2815.1,999.9,1993.2,2985.6,3729.6,4716.1,5711.6,6741.4,7771.8,8802.2,9837.7,4126.1,2060.8,995.5,251505.605,1180.536485,1185.271261,1188.580561,1191.428456,7.876803887,37.276848,36.19467734,36.06164396,36.1237497,617.9552857,719.9868813,742.1536542,5682.564913,5529.60816,5699.002978,47.26396163,46.57512102,45.93662746,99779.75431,106864.1583,103312.2701,20.78111273,20.13289483,19.65036642,22.17438887,23.2368217,24.03807878,100,0.989,0.015
29/10/2016 01:51,1478.8,1482.529167,1482.988202,1478.167978,1473.347753,1473.220382,1476.010191,1482.956627,1487.113253,1486.291878,1469.114213,1451.936548,1434.758883,1434.803659,1435.754878,1436.706098,1437.657317,1898.05,2636.15,1307.9,928.7,1814.6,2132.7,759.3,1641.55,2559.55,15949.15,-29.18,-7.105,-6.47,-7.32,-8.1,-6.81,-1.41,-7.16,22.24,-2.97,0.865,-0.13,-0.1,0.49,-0.31,0.7,0.61,-1.08,0.33,-6.31,889.185,1881.19,2099.55,1976.59,1874.57,2102.69,848.075,890.025,859.29,1412.775,1210.365,992.005,95.4,889.185,1881.19,2099.55,1976.59,1874.57,2102.69,848.075,890.025,859.29,1412.775,1210.365,95.4,-0.22,0.34,1.19,3.78,3.2,5.5,4.66,5.26,6.66,5.36,1.48,3.47,5.16,3.12,4.57,4.46,4.31,4.49,4.47,2.92,3.05,3.24,18.74,-0.26,0.03,3832.67,-7173.9,-25937.72,-48514.09,-35528.07,-49934.39,-47172.89,-35593.85,-63618.99,-54792.89,-1420.3,-9590.35,1554.6,2490.5,3733.6,5292.5,6228.8,7475.1,8721.7,9652,11292.2,12699,5223.9,2570.5,1274.4,2038.6,3057.2,4306.5,5050.4,6042.8,7035,7773.3,9026.3,10056.3,4013.5,1991.3,992.4,250908.6505,1190.887356,1193.788614,1195.956087,1196.877996,7.642712896,36.10880461,36.08658082,36.07919836,37.11547174,1529.473363,746.7211678,562.0404073,5666.431199,5598.660451,5712.902124,50.3385712,49.24105196,47.99135987,70777.3011,88477.47079,102892.3687,21.16957167,19.16355662,22.36493171,20.24876115,20.68301349,21.39482282,101,1.02,0.014
29/10/2016 04:28,1471.5,1468.887709,1470.060894,1477.688333,1485.538333,1481.140449,1476.320225,1474.289809,1477.079618,1480.393373,1484.55,1488.706627,1479.707107,1462.529442,1445.351777,1434.217073,1435.168293,3097.9,1738.3,2391,5491.85,4081.95,3730.2,5042.65,4108.7,5263.3,3564.7,0.4,0.63,22.94,24.97,24.925,24.43,25.84,25.15,24.67,25.84,1.19,0.99,1.31,1.44,1.4,1.21,1.75,0.66,0.55,-0.045,2591.4,2134.56,2942.84,3962.495,4209.63,4163.23,4002.145,4211.28,3205.24,2906.92,351.44,-456.84,1827.935,2591.4,2134.56,2942.84,3962.495,4209.63,4163.23,4002.145,4211.28,3205.24,2906.92,351.44,1827.935,-0.36,-1.02,-0.86,-1.53,-0.8,0.41,2.66,2.38,3.97,3.92,3.91,3.52,1.43,1.58,2.96,5.94,7.46,7.53,7.49,7.69,7.56,6.4,6.19,4.5,1.59,297.65,6669.63,8407.07,11891.15,-4314.34,-23810.07,-21134.82,-33490.76,-28322.66,-25644.98,-35701.22,-12721.41,1244.9,2806.3,4051,5294.6,6539.3,7784.5,9032.8,10279.2,11526,12457.6,4673.1,2493.2,1022.2,2301.1,3323.1,4341.6,5360.7,6370.8,7366.6,8359,9351.3,10093.4,3722.6,1984.7,1010.1,253097.584,1196.31525,1197.981489,1199.245574,1199.30224,8.059084107,36.58501078,38.43332661,40.64265772,41.96803425,2433.844805,2518.676524,2038.199679,6489.12774,6152.907066,5812.647374,50.38257529,50.70080324,50.67714686,68301.35978,63629.02755,63746.17192,23.50977718,22.68489118,21.97678383,20.51560743,20.20998682,20.19641447,93,1.074,0.013
29/10/2016 07:26,1485.8,1480.506736,1466.827979,1467.753631,1468.926816,1470.1,1477.95,1480.979775,1476.159551,1471.592994,1474.382803,1477.172611,1480.531928,1484.688554,1488.845181,1479.134518,1461.956853,857.25,-502.15,-438.4,3170.1,1421.1,2463.1,5739.65,3619.95,3514.1,5401.4,1.695,0.685,-0.085,0.545,0.385,22.165,25.725,24.63,24.565,25.795,-0.125,0.65,-1.115,0.035,-0.045,0.265,0.365,0.335,0.045,0.705,-72.325,-106.16,649.66,3232.63,2819.17,3629.77,4738.455,4892.66,4840.47,4675.62,721.985,-33.835,3338.79,-72.325,-106.16,649.66,3232.63,2819.17,3629.77,4738.455,4892.66,4840.47,4675.62,721.985,3338.79,-0.09,0.27,0.5,0.22,-0.45,-0.33,-0.89,-0.17,1.16,3.3,-0.39,-1.39,-0.6,0.2,-0.09,2.78,4.45,5.75,8.8,10.62,10.3,10.29,10.59,4.54,2.97,-15205.92,-4387.64,8433.4,9788.48,14988.17,17001.54,20425.42,3925.54,-16956.82,-9771.91,7213.06,6554.77,1559.5,2803.2,4358.2,5603.1,7164.5,8409.2,9652.8,10897.5,12142.7,13391,4981.8,2489.9,1264.8,2278.5,3556.2,4578.4,5857.3,6879.3,7897.8,8916.9,9927,10922.8,4043.5,2029.2,1022,255440.1953,1199.300888,1201.534554,1205.217327,1210.12433,8.199596902,41.92382093,43.84293169,46.10236481,46.49146803,5476.427276,5398.959667,4241.563287,7006.823571,6955.149502,6663.370417,49.94479889,49.84133287,50.01941646,85930.14737,76765.65754,75115.90912,25.16727322,23.15471579,24.07920253,21.88370149,21.29954211,21.02407312,96,0.68,0.024
29/10/2016 09:26,1470.1,1507.864249,1494.185492,1480.506736,1466.827979,1467.753631,1468.926816,1477.95,1485.8,1480.979775,1476.159551,1471.592994,1474.382803,1477.172611,1480.531928,1484.688554,1488.845181,-835,-870.4,-13.15,-1372.55,-1308.8,2299.7,550.7,1592.7,4869.25,2749.55,0.27,-0.495,1.2,0.19,-0.58,0.05,-0.11,21.67,25.23,24.135,0.76,0.335,0.21,0.985,-0.78,0.37,0.29,0.6,0.7,0.67,-70.04,437.41,365.085,331.25,1087.07,3670.04,3256.58,4067.18,5175.865,5330.07,435.125,507.45,-106.16,-70.04,437.41,365.085,331.25,1087.07,3670.04,3256.58,4067.18,5175.865,5330.07,435.125,-106.16,-0.17,-0.33,-0.42,-0.06,0.17,-0.11,-0.78,-0.66,-1.22,-0.5,-0.6,-0.36,0.22,-0.17,1.23,1.43,1.14,4.01,5.68,6.98,10.03,11.85,11.53,-0.09,2.58,9560.84,2447.11,-12758.81,-1940.53,10880.51,12235.59,17435.28,19448.65,22872.53,6372.65,14176.12,23639.32,1557.1,3105.7,4665.2,5908.9,7463.9,8708.8,10270.2,11514.9,12758.5,14003.2,5294.4,2488.3,1264.4,2528.4,3793.2,4806.9,6084.6,7106.8,8385.7,9407.7,10426.2,11445.3,4338.5,2040.5,1022.2,255062.2763,1205.217327,1210.12433,1215.940919,1219.597662,7.981149036,46.10236481,46.49146803,46.91336688,47.76749946,5904.963743,5589.200387,5476.427276,7017.418013,7022.855529,7006.823571,50.16082925,50.12214971,49.94479889,80830.03509,91314.22898,85930.14737,24.61304424,24.81320966,25.16727322,23.0764328,22.38866409,21.88370149,81,0.468,0.026
29/10/2016 12:25,1466.6,1479.34292,1490.573009,1501.803097,1507.636269,1493.957513,1480.278756,1467.773184,1468.946369,1470.230833,1478.080833,1485.719663,1480.899438,1476.079213,1471.63949,1474.429299,1477.219108,1114,-6195.5,-4464.3,-5346.6,-5401.5,-4496.65,-5801.5,-5865.9,-2115.2,-3884.6,-0.49,-1.65,-1.14E-12,0.35,-0.505,1.2,0.18,-0.58,0.2,-0.14,0.42,1.79,1.9,2.58,2.075,1.99,2.84,1.05,2.07,2.12,-121.48,-380.42,-78.05,-161.15,347.15,269.795,260.01,952.14,3581.61,3160.61,43.43,-258.94,219.27,-121.48,-380.42,-78.05,-161.15,347.15,269.795,260.01,952.14,3581.61,3160.61,43.43,219.27,-0.26,-0.01,0.44,0.29,0.11,0.03,0.4,0.56,0.35,-0.35,0.27,-0.04,0.04,0.19,-1.17,-0.85,-1.03,0.35,0.58,0.3,3.16,4.87,6.14,0.14,1.2,-2785.74,-3836.78,-16686.07,-7996.19,-15283.63,-30741.22,-19253.65,-6334.45,-4686.69,543.98,-22745.03,1402.44,1218.3,2437.1,3998.5,5241.7,6790.3,8349.8,9593.5,11148.5,12707.2,13954.8,5605,3113.7,1019.1,2038.3,3311.4,4322.7,5586.7,6851.5,7865.2,9142.9,10421.1,11444,4592.5,2555.9,1264.8,250283.1724,1219.556314,1221.005327,1222.741047,1224.062566,8.665026282,47.76213083,47.78230328,47.51926241,46.92543407,5870.783796,6014.522183,5915.928837,6852.952032,6842.715707,7028.672117,50.21234614,50.02735833,50.04563107,71810.06858,80089.6156,76299.90227,20.87489813,22.36700835,23.36086423,24.25412483,23.94992599,23.65505782,80,0.564,0.021
29/10/2016 15:38,1510.6,1473.013103,1470.902759,1468.792414,1476.909735,1488.139823,1499.369912,1496.921244,1483.242487,1469.563731,1467.518994,1468.692179,1469.865363,1476.38,1484.23,1481.94382,1477.123596,3119.85,3971.2,3322.55,4477.75,333,-21.85,73.25,-1027.75,-658.25,-642.85,0.325,0.545,0.065,1.365,0.91,-0.31,1.225,0.65,-0.175,0.965,-0.25,0.255,-0.875,-2.08,-1.195,-1.125,-1.17,-0.57,-0.6,-0.94,-61.055,190.215,150.355,40.185,-239.96,-2.905,-74.4,382.6,479.995,192.985,211.41,251.27,-150.03,-61.055,190.215,150.355,40.185,-239.96,-2.905,-74.4,382.6,479.995,192.985,211.41,-150.03,-0.33,-0.3,-0.02,-0.21,0.08,0.54,0.23,0.09,0.06,0.33,0.3,0.25,0.84,0.7,0.76,0.64,0.89,0.16,0.03,0.09,0.98,1.31,1.43,0.13,-0.48,22096.57,20966.65,19401.6,19514.68,21841.03,5724.58,16406.11,11566.56,-1212.26,3365.16,-13790.1,2439.43,1220.8,2440,3964.6,5184.4,6403.4,7953.4,9197.8,10750.8,12305.9,13549.9,5596.5,3108.1,1016.3,2032.6,3307,4326.2,5345.7,6620,7631.5,8895.8,10160.1,11171.2,4551.2,2528.6,1274.3,252106.8868,1224.065039,1224.16936,1224.328011,1224.349065,7.465160154,46.89877529,47.09268258,47.00612778,47.24518656,6002.857308,5750.376861,5739.854469,6784.488829,6979.245019,7005.687384,50.53377311,50.45082157,50.39412483,69501.53419,69249.47809,69027.0585,21.50907301,22.46835601,21.83564374,23.02337903,23.56996346,23.96740533,78,0.7,0.018
29/10/2016 19:24,1468.3,1458.332593,1451.977037,1458.146479,1467.780282,1472.52069,1470.410345,1479.530088,1490.760177,1501.990265,1507.40829,1493.729534,1480.050777,1466.619553,1467.792737,1468.965922,1470.361667,3159.9,3744.2,2444.95,4711.65,7200.25,6928.4,8256.4,9270.9,2336,3964.6,0.945,0.815,-0.3,2.105,-0.355,-0.215,0.795,0.105,-0.995,0.495,0.01,0.86,0.94,1,0.47,0.95,-1.95,-1.32,-0.11,0.08,205.97,-68.94,262.8,269.295,298.095,502.8,440.41,277.87,73.58,380.01,56.83,-274.91,338.235,205.97,-68.94,262.8,269.295,298.095,502.8,440.41,277.87,73.58,380.01,56.83,338.235,0.01,-0.12,-0.37,-0.2,-0.57,-0.54,-0.17,-0.44,-0.21,0.25,-0.24,0.2,-0.42,0.53,0.76,0.44,0.88,1.32,1.23,1.55,1.75,0.42,0.72,0.12,0.88,2979.42,-17429.46,9231.88,12898.15,17755.61,20379.09,21758.14,18910.19,17633.21,5337.7,7480.94,8523.73,1518.9,2737.6,3961.1,5491.9,6711.8,8233.9,9454.2,10672.5,11891.3,13452.7,5218.8,2437.1,1253.3,2262.5,3278.8,4549.7,5566.1,6837.7,7857.2,8876.3,9895.5,11168.6,4330.9,2038.3,1271.6,255854.6045,1224.297936,1224.117242,1223.815231,1223.774436,7.944432675,47.62303556,47.7698228,47.70072029,47.94922002,6165.707105,6220.921462,5947.164803,6817.337462,6687.813366,6984.037565,50.26748498,50.38528998,50.47946432,95325.05355,83246.18576,79442.99066,23.2184459,21.36549711,23.60817493,22.01232278,21.92007915,22.07227893,69,0.779,0.016
