t_stamp,Tapp_plus2,Tapp,Tapp_prev1,PCI_3,PCI_4,PCI_5,HOD_2,HOD_3,HOD_4,COD_2,COD_3,COD_4,SGR610,BFR_1,BFR_2,CKR610,HL_1,HL_2,HL_3,BTemp_2,BTemp_3,HODm3,PCIm3,BMoist_1,BMoist_2,Time_Since_Tap_Open
2016-10-28 14:20:00,1437.197561,1439.1,1438.986792,2.45,2.66,7.49,-731.21,-54.695,-0.135,-731.21,-54.695,-0.135,65598.2,3028.3,1060.15,85743.5,13642.71,8635.9,-10022.4,26.805,8.485,1727.150276,35.04600132,-0.56,-1.205,60
2016-10-28 19:48:00,1468.25533,1433.9,1434.85122,-1.12,10.16,-1.51,-1208.65,-1024.31,-818.565,-1208.65,-1024.31,-818.565,62789.4,-1668.4,-353.4,84692.8,5516.1,21088.08,-6797.8,0.02,29.19,1749.052414,36.89733382,-0.1,-1.8,98
2016-10-28 23:05:00,1481.986747,1490.3,1473.122335,0.45,-1.41,-1.94,-214.95,52.355,-1239.065,-214.95,52.355,-1239.065,61926.5,-546.9,-76.65,84459.9,-28999.76,-11092.19,-18756.05,0.675,1.59,742.1536542,36.19467734,0.155,1.27,100
2016-10-29 01:51:00,1473.220382,1478.8,1482.956627,4.46,4.31,4.49,1881.19,2099.55,1976.59,1881.19,2099.55,1976.59,60159.3,1898.05,2636.15,78283.2,3832.67,-7173.9,-25937.72,-7.105,-6.47,562.0404073,36.08658082,0.865,-0.13,101
2016-10-29 04:28:00,1481.140449,1471.5,1474.289809,5.94,7.46,7.53,2134.56,2942.84,3962.495,2134.56,2942.84,3962.495,59532.4,3097.9,1738.3,74810.8,297.65,6669.63,8407.07,0.63,22.94,2038.199679,38.43332661,1.19,0.99,93
2016-10-29 07:26:00,1470.1,1485.8,1480.979775,2.78,4.45,5.75,-106.16,649.66,3232.63,-106.16,649.66,3232.63,60589.6,857.25,-502.15,74698.7,-15205.92,-4387.64,8433.4,0.685,-0.085,4241.563287,43.84293169,-0.125,0.65,96
2016-10-29 09:26:00,1467.753631,1470.1,1477.95,1.43,1.14,4.01,437.41,365.085,331.25,437.41,365.085,331.25,61231.7,-835,-870.4,74684.7,9560.84,2447.11,-12758.81,-0.495,1.2,5476.427276,46.49146803,0.76,0.335,81
2016-10-29 12:25:00,1493.957513,1466.6,1467.773184,-0.85,-1.03,0.35,-380.42,-78.05,-161.15,-380.42,-78.05,-161.15,61250.6,1114,-6195.5,74718.9,-2785.74,-3836.78,-16686.07,-1.65,-1.13687E-12,5915.928837,47.78230328,0.42,1.79,80
2016-10-29 15:38:00,1488.139823,1510.6,1496.921244,0.64,0.89,0.16,190.215,150.355,40.185,190.215,150.355,40.185,60717.2,3119.85,3971.2,74620.7,22096.57,20966.65,19401.6,0.545,0.065,5739.854469,47.09268258,-0.25,0.255,78
2016-10-29 19:24:00,1472.52069,1468.3,1479.530088,0.44,0.88,1.32,-68.94,262.8,269.295,-68.94,262.8,269.295,61140.7,3159.9,3744.2,73653.9,2979.42,-17429.46,9231.88,0.815,-0.3,5947.164803,47.7698228,0.01,0.86,69
2016-10-29 21:49:00,1454.132394,1473.4,1471.289655,-0.88,0.11,-0.54,-157.2,-48.84,-222.385,-157.2,-48.84,-222.385,61069.8,-4856.75,-2843.2,73171.2,-9779.53,2114.48,-3403.41,4.03,-0.93,6114.518614,48.13122543,-0.655,-0.58,69
2016-10-30 00:11:00,1463.311111,1450.6,1460.233803,-0.37,-0.45,-0.49,12.245,-314.35,-127.63,12.245,-314.35,-127.63,60931.8,525.8,428.5,73283.1,-2759.61,1868.74,15308.35,3.17,-0.55,6196.837568,48.00057947,-0.82,-1.67,56
